epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.642,2.25505,3.83284,1.91787,0.30375,0.08982,0.04171,0.01414,2.1541,3.32979,2.11215,0.00332524,0.00332524,0.0700728
2,315.357,2.17668,2.97425,1.78551,0.09216,0.18886,0.06564,0.02359,2.33521,4.73029,2.13044,0.00659266,0.00659266,0.0400069
3,466.562,2.31001,3.00459,1.88087,0.05051,0.10429,0.01685,0.00535,2.75365,4.74429,2.39445,0.00979407,0.00979407,0.00987498
4,616.933,2.30558,2.95121,1.90735,0.12069,0.04569,0.04066,0.01352,2.53701,4.4215,2.36329,0.009703,0.009703,0.009703
5,765.507,2.23623,2.81179,1.86406,0.10104,0.17026,0.08252,0.03151,2.30481,3.40577,2.06293,0.009604,0.009604,0.009604
6,912.56,2.1763,2.68993,1.82212,0.18058,0.14817,0.11146,0.043,2.21882,3.12756,2.08136,0.009505,0.009505,0.009505
7,1059.24,2.13622,2.61633,1.79739,0.16429,0.19631,0.09106,0.03944,2.20783,3.59887,2.10023,0.009406,0.009406,0.009406
8,1206.13,2.10856,2.56632,1.76941,0.24611,0.16998,0.15641,0.06025,2.14477,2.98607,1.92692,0.009307,0.009307,0.009307
9,1352.69,2.07218,2.4957,1.74311,0.22501,0.19342,0.14513,0.05317,2.13675,2.79578,1.91541,0.009208,0.009208,0.009208
10,1496.9,2.06355,2.47507,1.73411,0.23029,0.20558,0.16556,0.06546,2.12676,2.86396,1.93705,0.009109,0.009109,0.009109
11,1636.81,2.02611,2.42019,1.71437,0.25871,0.24173,0.22145,0.09264,2.05219,2.72245,1.93846,0.00901,0.00901,0.00901
12,1776.99,2.02532,2.37618,1.69677,0.14268,0.18584,0.13072,0.05155,2.17919,3.31034,2.02845,0.008911,0.008911,0.008911
13,1916.92,1.99799,2.32415,1.68503,0.28094,0.27741,0.23062,0.0949,2.08606,2.96545,1.90689,0.008812,0.008812,0.008812
14,2057.25,1.99346,2.31277,1.66237,0.29518,0.27153,0.24807,0.10792,2.12935,2.702,1.99702,0.008713,0.008713,0.008713
15,2196.62,1.98059,2.28504,1.66385,0.26949,0.25527,0.22447,0.09863,2.06836,2.80172,1.93206,0.008614,0.008614,0.008614
16,2336.45,1.95619,2.26272,1.64371,0.30372,0.28497,0.25288,0.1118,2.03983,2.49896,1.90753,0.008515,0.008515,0.008515
17,2475.84,1.95385,2.24051,1.64383,0.3262,0.28751,0.26003,0.11947,2.03645,2.51518,1.8711,0.008416,0.008416,0.008416
18,2615.99,1.93163,2.22919,1.63041,0.3026,0.28286,0.26512,0.12099,2.0118,2.50815,1.84119,0.008317,0.008317,0.008317
