epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6215.7,1.77242,1.88206,1.49275,0.40045,0.39426,0.36424,0.16638,1.90167,2.16642,1.74488,0.005842,0.005842,0.005842
44,6360.36,1.76096,1.86014,1.47791,0.4124,0.37489,0.37934,0.17771,1.90136,2.12688,1.69222,0.005743,0.005743,0.005743
45,6505.44,1.7563,1.85397,1.47549,0.4079,0.38152,0.37462,0.18186,1.89063,2.13022,1.70136,0.005644,0.005644,0.005644
46,6651.06,1.75355,1.84881,1.48034,0.38318,0.383,0.37777,0.17732,1.90233,2.12229,1.70535,0.005545,0.005545,0.005545
47,6796.24,1.74624,1.84266,1.47948,0.4231,0.3918,0.38155,0.18134,1.91704,2.05981,1.72284,0.005446,0.005446,0.005446
48,6941.07,1.74733,1.82934,1.46384,0.40273,0.39165,0.37075,0.18303,1.90262,2.1057,1.71241,0.005347,0.005347,0.005347
49,7086.21,1.74886,1.80991,1.46141,0.42875,0.39096,0.37997,0.18143,1.91665,2.05323,1.70121,0.005248,0.005248,0.005248
50,7231.79,1.74082,1.81021,1.46493,0.42015,0.40226,0.38624,0.18381,1.90427,2.02722,1.70014,0.005149,0.005149,0.005149
51,7376.69,1.7272,1.80673,1.45511,0.46877,0.36495,0.38075,0.17232,1.92053,2.08347,1.71722,0.00505,0.00505,0.00505
52,7522.46,1.72925,1.78338,1.45075,0.44576,0.39672,0.39047,0.18477,1.91529,2.0512,1.71041,0.004951,0.004951,0.004951
53,7667.53,1.71508,1.76381,1.44424,0.40316,0.38864,0.38255,0.18704,1.89966,2.02029,1.70315,0.004852,0.004852,0.004852
54,7813.28,1.71191,1.78074,1.44667,0.40085,0.41671,0.3804,0.18211,1.90252,2.07551,1.70324,0.004753,0.004753,0.004753
55,7958.61,1.70772,1.75463,1.43997,0.43233,0.40522,0.39255,0.19402,1.88581,2.04972,1.71046,0.004654,0.004654,0.004654
56,8103.06,1.71597,1.76167,1.44091,0.46861,0.395,0.3962,0.19143,1.89101,2.02858,1.70417,0.004555,0.004555,0.004555
57,8252,1.70419,1.74799,1.43854,0.46347,0.39531,0.40396,0.19356,1.90463,2.03394,1.7114,0.004456,0.004456,0.004456
58,8401.82,1.69004,1.72635,1.43053,0.44776,0.39596,0.40568,0.19524,1.89177,2.04184,1.69879,0.004357,0.004357,0.004357
59,8550.13,1.68496,1.72648,1.41813,0.44722,0.39613,0.40428,0.20203,1.88909,2.01019,1.6903,0.004258,0.004258,0.004258
60,8696.89,1.68255,1.70914,1.41944,0.47281,0.38029,0.40446,0.20349,1.89148,2.00128,1.70409,0.004159,0.004159,0.004159
61,8842.64,1.67054,1.69026,1.41586,0.46148,0.39788,0.41603,0.20155,1.88691,1.99659,1.68461,0.00406,0.00406,0.00406
62,8988.3,1.66449,1.67978,1.40916,0.4682,0.39265,0.414,0.20817,1.89004,1.98649,1.67874,0.003961,0.003961,0.003961
63,9135.84,1.66609,1.68592,1.40682,0.42703,0.41552,0.42253,0.20547,1.9025,1.97907,1.69247,0.003862,0.003862,0.003862
64,9281.13,1.67374,1.69101,1.41449,0.40544,0.40874,0.41179,0.20386,1.88596,1.9798,1.68356,0.003763,0.003763,0.003763
65,9427.27,1.66002,1.67071,1.41174,0.41339,0.43606,0.41898,0.20849,1.8871,1.97077,1.68097,0.003664,0.003664,0.003664
66,9572.73,1.65887,1.66199,1.40148,0.39646,0.41494,0.40781,0.20716,1.89249,1.97888,1.685,0.003565,0.003565,0.003565
67,9717.88,1.65589,1.65755,1.40675,0.41781,0.42708,0.42531,0.20806,1.89129,1.95672,1.68482,0.003466,0.003466,0.003466
68,9862.32,1.65877,1.64687,1.40281,0.43194,0.42688,0.421,0.2074,1.88786,1.95213,1.68069,0.003367,0.003367,0.003367
69,10008,1.65315,1.65238,1.39581,0.43025,0.42445,0.42288,0.20819,1.88557,1.95303,1.67608,0.003268,0.003268,0.003268
70,10153.3,1.63909,1.63318,1.39073,0.43553,0.41511,0.41771,0.20564,1.88667,1.95638,1.67762,0.003169,0.003169,0.003169
71,10299.6,1.64829,1.63159,1.39766,0.43621,0.40851,0.41846,0.20763,1.87641,1.9459,1.67242,0.00307,0.00307,0.00307
72,10444.2,1.63823,1.62203,1.38804,0.41268,0.43265,0.41622,0.20745,1.87344,1.93923,1.66767,0.002971,0.002971,0.002971
73,10587.6,1.6263,1.60454,1.38363,0.38925,0.44799,0.41417,0.2075,1.88717,1.94209,1.6702,0.002872,0.002872,0.002872
74,10732.6,1.63322,1.60284,1.38107,0.45356,0.41262,0.41758,0.21121,1.8862,1.9346,1.67403,0.002773,0.002773,0.002773
75,10877.9,1.62147,1.60494,1.38067,0.45087,0.40669,0.41616,0.2118,1.88774,1.92681,1.67786,0.002674,0.002674,0.002674
76,11023,1.62305,1.59221,1.37792,0.43374,0.41163,0.41754,0.21386,1.88535,1.92016,1.677,0.002575,0.002575,0.002575
77,11166.1,1.61218,1.57129,1.37019,0.45851,0.4048,0.42042,0.21393,1.88772,1.93403,1.68675,0.002476,0.002476,0.002476
78,11309,1.60755,1.58678,1.36965,0.45173,0.41585,0.41845,0.21192,1.88675,1.93598,1.68078,0.002377,0.002377,0.002377
79,11452.1,1.6194,1.57348,1.37176,0.429,0.43965,0.41991,0.21061,1.89238,1.9255,1.68615,0.002278,0.002278,0.002278
80,11594.5,1.59899,1.5605,1.36504,0.45979,0.40367,0.41781,0.20941,1.8933,1.92769,1.68987,0.002179,0.002179,0.002179
81,11737.6,1.59687,1.55395,1.35942,0.46897,0.40363,0.4182,0.21001,1.89468,1.91395,1.68649,0.00208,0.00208,0.00208
82,11884.8,1.58494,1.54263,1.35704,0.45498,0.42061,0.41752,0.20988,1.89953,1.91606,1.69003,0.001981,0.001981,0.001981
83,12029.6,1.58297,1.53668,1.35722,0.47403,0.41433,0.42322,0.21051,1.89917,1.91451,1.68849,0.001882,0.001882,0.001882
84,12172.8,1.58588,1.53158,1.34813,0.48703,0.40742,0.42739,0.21342,1.89255,1.9122,1.68544,0.001783,0.001783,0.001783
85,12315.7,1.57768,1.51436,1.34782,0.4793,0.42166,0.43244,0.21337,1.89437,1.91487,1.68632,0.001684,0.001684,0.001684
86,12458.6,1.56457,1.50159,1.34652,0.41122,0.46791,0.43361,0.21557,1.89869,1.90699,1.6849,0.001585,0.001585,0.001585
87,12601.8,1.57237,1.51045,1.34102,0.42409,0.46343,0.43362,0.2168,1.90111,1.90209,1.68654,0.001486,0.001486,0.001486
88,12747.2,1.56451,1.49411,1.34339,0.41688,0.4472,0.43619,0.21718,1.90363,1.8968,1.68874,0.001387,0.001387,0.001387
89,12893.6,1.55947,1.48341,1.33761,0.39841,0.44802,0.43378,0.21688,1.90912,1.89692,1.69333,0.001288,0.001288,0.001288
90,13041.7,1.5531,1.48022,1.33209,0.45497,0.41657,0.43258,0.21594,1.90837,1.89842,1.68991,0.001189,0.001189,0.001189
91,13184.7,1.55811,1.39051,1.356,0.43648,0.42807,0.43454,0.21834,1.91161,1.89712,1.69083,0.00109,0.00109,0.00109
92,13322.3,1.55271,1.37667,1.35992,0.40087,0.45661,0.43561,0.21973,1.91299,1.8965,1.69184,0.000991,0.000991,0.000991
93,13464.4,1.5457,1.35664,1.35594,0.41229,0.45622,0.43764,0.2204,1.91552,1.89284,1.69385,0.000892,0.000892,0.000892
94,13602.2,1.52812,1.34378,1.34255,0.41731,0.45232,0.43604,0.22046,1.91503,1.88518,1.6926,0.000793,0.000793,0.000793
95,13738.5,1.52776,1.33809,1.34222,0.4167,0.44343,0.43652,0.22087,1.91625,1.88206,1.69288,0.000694,0.000694,0.000694
96,13872,1.52357,1.33198,1.34465,0.42318,0.46413,0.43681,0.22138,1.91641,1.87594,1.69315,0.000595,0.000595,0.000595
97,14005.5,1.52071,1.31545,1.33169,0.4221,0.46349,0.43769,0.22202,1.91658,1.8725,1.69301,0.000496,0.000496,0.000496
98,14143.1,1.50913,1.30599,1.33279,0.42394,0.46882,0.43748,0.22288,1.91909,1.87179,1.69555,0.000397,0.000397,0.000397
99,14281.6,1.49821,1.29964,1.3251,0.42938,0.46741,0.43965,0.22369,1.92208,1.86978,1.69749,0.000298,0.000298,0.000298
100,14422.6,1.49578,1.28576,1.32257,0.43479,0.46793,0.44056,0.22443,1.92354,1.86853,1.69814,0.000199,0.000199,0.000199
