epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6080.41,1.77086,1.87461,1.48387,0.40358,0.38782,0.34871,0.16508,1.90887,2.12901,1.71846,0.005842,0.005842,0.005842
44,6229.62,1.76071,1.85846,1.48147,0.42555,0.36672,0.35215,0.16728,1.92729,2.16924,1.72155,0.005743,0.005743,0.005743
45,6377.9,1.74979,1.8527,1.47279,0.39391,0.36765,0.35976,0.17441,1.90722,2.10537,1.70529,0.005644,0.005644,0.005644
46,6526.07,1.74968,1.85011,1.47633,0.40495,0.37674,0.35562,0.17212,1.90009,2.08508,1.7081,0.005545,0.005545,0.005545
47,6675.53,1.74108,1.82965,1.4667,0.40574,0.36859,0.36723,0.17644,1.91664,2.10989,1.71159,0.005446,0.005446,0.005446
48,6822.89,1.73913,1.80904,1.45942,0.42439,0.37418,0.37473,0.18158,1.906,2.10225,1.72108,0.005347,0.005347,0.005347
49,6970.89,1.73241,1.81721,1.45757,0.39653,0.38181,0.38,0.1806,1.91003,2.09665,1.70927,0.005248,0.005248,0.005248
50,7145.98,1.73058,1.8021,1.45643,0.42029,0.38957,0.38173,0.18241,1.88816,2.0809,1.69132,0.005149,0.005149,0.005149
51,7349.77,1.72442,1.80547,1.45218,0.41189,0.40549,0.37565,0.18549,1.9066,2.11705,1.698,0.00505,0.00505,0.00505
52,7502.58,1.71785,1.78168,1.45111,0.41165,0.38239,0.38315,0.18311,1.91175,2.03997,1.71178,0.004951,0.004951,0.004951
53,7652.86,1.71411,1.76863,1.44184,0.43021,0.39068,0.37584,0.18835,1.89367,2.04474,1.70571,0.004852,0.004852,0.004852
54,7799.59,1.70342,1.75389,1.43495,0.40825,0.39885,0.38206,0.18278,1.90858,2.08411,1.71752,0.004753,0.004753,0.004753
55,7944.32,1.7101,1.76449,1.44056,0.40094,0.39406,0.37137,0.17932,1.9069,2.0589,1.71872,0.004654,0.004654,0.004654
56,8090.79,1.70527,1.74773,1.43237,0.40277,0.40027,0.39277,0.19091,1.89758,2.04404,1.69497,0.004555,0.004555,0.004555
57,8237.99,1.70081,1.75319,1.43386,0.41552,0.40631,0.39512,0.19485,1.92203,2.03217,1.72017,0.004456,0.004456,0.004456
